Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1stPayVault,Firefox 68.0,,,2019-10-31 11:04:37,2019-10-31 11:23:04,18m - 26.821s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/FirstPayVault/TC_1st_Pay_Vault_001,Firefox 68.0,,,2019-10-31 11:04:41,2019-10-31 11:06:40,1m - 59.275s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 68.0,,,2019-10-31 11:04:42,2019-10-31 11:04:42,0.127s,PASSED
"utilities.SafeActions.openBrowser(Old_URL, [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:04:43,2019-10-31 11:04:43,0.003s,NOT_RUN
delay(6),Firefox 68.0,,,2019-10-31 11:04:43,2019-10-31 11:04:43,0.002s,NOT_RUN
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), ""ranjanatest2 - 888814981372/001 Account Type: Retail"", ""Select by Value"", [25])",Firefox 68.0,,,2019-10-31 11:04:43,2019-10-31 11:04:43,0.007s,NOT_RUN
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:04:43,2019-10-31 11:05:34,50.190s,PASSED
"pages.Login.login(uName, password)",Firefox 68.0,,,2019-10-31 11:05:34,2019-10-31 11:05:41,7.013s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-10-31 11:05:41,2019-10-31 11:05:45,4.391s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 68.0,,,2019-10-31 11:05:45,2019-10-31 11:05:53,8.478s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 68.0,,,2019-10-31 11:05:53,2019-10-31 11:05:59,5.199s,PASSED
"focus(findTestObject(""Pages/FirstPayVault/tab_FirstPayVault""))",Firefox 68.0,,,2019-10-31 11:05:59,2019-10-31 11:06:07,8.787s,PASSED
"utilities.SafeActions.javascriptclick(findTestObject(""Pages/FirstPayVault/tab_FirstPayVault""), PageLoadTime)",Firefox 68.0,,,2019-10-31 11:06:07,2019-10-31 11:06:08,0.214s,PASSED
delay(delayForElement),Firefox 68.0,,,2019-10-31 11:06:08,2019-10-31 11:06:14,6.004s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/FirstPayVault/tab_FirstPayVault""), ""Click on FistPayVault tab"", [delayForElement])",Firefox 68.0,,,2019-10-31 11:06:14,2019-10-31 11:06:15,1.195s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/FirstPayVault/button_CreateVault""), ""Click on CreateVault button"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:15,2019-10-31 11:06:16,1.593s,PASSED
vaultReference = utilities.SafeActions.timeWithMilliSeconds(),Firefox 68.0,,,2019-10-31 11:06:16,2019-10-31 11:06:16,0.019s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/FirstPayVault/input_VaultReferenceNumber""), vaultReference, ""Entering Vault Reference Number"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:16,2019-10-31 11:06:18,1.544s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/FirstPayVault/input_CreditCardNumber""), visaCardNumber, ""Entering Card Number"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:18,2019-10-31 11:06:19,1.182s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/FirstPayVault/dropDown_ExpirationMonth""), cardMonth, ""Expiration Month"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:19,2019-10-31 11:06:21,1.769s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/FirstPayVault/dropDown_ExpirationYear""), cardYear, ""year"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:21,2019-10-31 11:06:23,1.798s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/FirstPayVault/input_ContactName""), contactName, ""Enter Contact Name"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:23,2019-10-31 11:06:24,1.375s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/FirstPayVault/input_PostalCode""), postalCode, ""Enter Postal Code"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:24,2019-10-31 11:06:25,1.218s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/FirstPayVault/input_Address""), address, ""Enter ddress"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:25,2019-10-31 11:06:27,1.272s,PASSED
"utilities.SafeActions.safeCheckForElement(findTestObject(""Pages/FirstPayVault/chekBox_AddShippingInformation""), PageLoadTime)",Firefox 68.0,,,2019-10-31 11:06:27,2019-10-31 11:06:28,1.061s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/FirstPayVault/input_ShippingMethod""), shippingMethod, ""Enter Shipping Method"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:28,2019-10-31 11:06:29,1.508s,PASSED
"utilities.SafeActions.safeCheckForElement(findTestObject(""Pages/FirstPayVault/checkbox_SameAsBillingInformation""), PageLoadTime)",Firefox 68.0,,,2019-10-31 11:06:29,2019-10-31 11:06:31,1.693s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/FirstPayVault/button_Create""), ""Click on Create Button"", [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:31,2019-10-31 11:06:32,1.599s,PASSED
delay(2),Firefox 68.0,,,2019-10-31 11:06:32,2019-10-31 11:06:34,2.004s,PASSED
"popupSavedToVaultMessage = utilities.SafeActions.safeGetText(findTestObject(""Pages/FirstPayVault/popup_SavedToVaultMessage""), elementTime)",Firefox 68.0,,,2019-10-31 11:06:34,2019-10-31 11:06:35,0.855s,PASSED
"flag = utilities.SafeActions.verifyPopupMessage(""Successfully Saved to Vault"", popupSavedToVaultMessage)",Firefox 68.0,,,2019-10-31 11:06:35,2019-10-31 11:06:35,0.031s,PASSED
closeBrowser(),Firefox 68.0,,,2019-10-31 11:06:35,2019-10-31 11:06:40,4.414s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-10-31 11:06:40,2019-10-31 11:06:40,0.019s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-10-31 11:06:40,2019-10-31 11:06:40,0.003s,PASSED
,,,,,,,
Test Cases/FirstView/FirstPayVault/TC_1st_Pay_Vault_002,Firefox 68.0,,,2019-10-31 11:06:40,2019-10-31 11:08:32,1m - 52.040s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 68.0,,,2019-10-31 11:06:40,2019-10-31 11:06:40,0.003s,PASSED
"utilities.SafeActions.openBrowser(Old_URL, [PageLoadTime])",Firefox 68.0,,,2019-10-31 11:06:41,2019-10-31 11:06:41,0.002s,NOT_RUN
delay(6),Firefox 68.0,,,2019-10-31 11:06:41,2019-10-31 11:06:41,0.006s,NOT_RUN
