Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale,Chrome 76.0.3809.100,,,2019-10-31 11:04:42,2019-10-31 11:14:50,10m - 8.347s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_Retail_No_AdditionalPrompting,Chrome 76.0.3809.100,,,2019-10-31 11:04:44,2019-10-31 11:08:16,3m - 32.469s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-10-31 11:04:45,2019-10-31 11:04:45,0.120s,PASSED
"utilities.SafeActions.openBrowser(Old_URL, [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-31 11:04:47,2019-10-31 11:04:47,0.003s,NOT_RUN
delay(delayForElement),Chrome 76.0.3809.100,,,2019-10-31 11:04:47,2019-10-31 11:04:47,0.001s,NOT_RUN
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_AccountType""), RetailAccountOption, ""Select by Value"", [25])",Chrome 76.0.3809.100,,,2019-10-31 11:04:47,2019-10-31 11:04:47,0.003s,NOT_RUN
delay(delayBetweenTestSteps),Chrome 76.0.3809.100,,,2019-10-31 11:04:47,2019-10-31 11:04:47,0.001s,NOT_RUN
"utilities.SafeActions.openBrowser(URL, [delayForElement])",Chrome 76.0.3809.100,,,2019-10-31 11:04:47,2019-10-31 11:05:16,29.042s,PASSED
"pages.Login.login(uName, password)",Chrome 76.0.3809.100,,,2019-10-31 11:05:16,2019-10-31 11:05:51,34.970s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-31 11:05:51,2019-10-31 11:06:11,20.771s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-31 11:06:11,2019-10-31 11:06:25,13.235s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Chrome 76.0.3809.100,,,2019-10-31 11:06:25,2019-10-31 11:06:33,8.613s,PASSED
delay(delayForElement),Chrome 76.0.3809.100,,,2019-10-31 11:06:33,2019-10-31 11:06:39,6.004s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-31 11:06:39,2019-10-31 11:06:40,0.694s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), delayBetweenTestSteps)",Chrome 76.0.3809.100,Scroll down to Element inputAmount,,2019-10-31 11:06:40,2019-10-31 11:06:42,2.027s,PASSED
"click(findTestObject(""Pages/Sale/input_Amount""))",Chrome 76.0.3809.100,,,2019-10-31 11:06:42,2019-10-31 11:06:42,0.001s,NOT_RUN
"utilities.SafeActions.safeTypeUsingJavascript(findTestObject(""Pages/Sale/input_Amount""), amountInput)",Chrome 76.0.3809.100,,,2019-10-31 11:06:42,2019-10-31 11:06:43,0.853s,PASSED
"focus(findTestObject(""Pages/Sale/input_Amount""))",Chrome 76.0.3809.100,,,2019-10-31 11:06:43,2019-10-31 11:06:43,0.002s,NOT_RUN
delay(2),Chrome 76.0.3809.100,,,2019-10-31 11:06:43,2019-10-31 11:06:45,2.004s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amountInput, ""Amount field"", [delayForElement])",Chrome 76.0.3809.100,,,2019-10-31 11:06:45,2019-10-31 11:06:47,2.223s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-31 11:06:47,2019-10-31 11:06:47,0.295s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-31 11:06:47,2019-10-31 11:06:49,1.316s,PASSED
println(total_Amount),Chrome 76.0.3809.100,,,2019-10-31 11:06:49,2019-10-31 11:06:49,0.003s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(tabName, cardInformationCheckBox, delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-31 11:06:49,2019-10-31 11:06:49,0.630s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CardNumber""), visaCardNumber, ""Entering Card Number"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-31 11:06:49,2019-10-31 11:06:58,9.006s,PASSED
delay(delayBetweenTestSteps),Chrome 76.0.3809.100,,,2019-10-31 11:06:58,2019-10-31 11:07:01,3.008s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), cardMonth, ""Enter Month"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-31 11:07:01,2019-10-31 11:07:03,2.081s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationYear""), cardYear, ""Select Expiration Year"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-31 11:07:03,2019-10-31 11:07:05,1.654s,PASSED
"utilities.SafeActions.safeClickWithoutScrollOnLabel(findTestObject(""Pages/Sale/label_ExpirationYear""), ""Click on Exp Year label"", [PageLoadTime])",Chrome 76.0.3809.100,,,2019-10-31 11:07:05,2019-10-31 11:07:07,2.298s,PASSED
delay(delayBetweenTestSteps),Chrome 76.0.3809.100,,,2019-10-31 11:07:07,2019-10-31 11:07:10,3.002s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_SecurityCode""), securityCode, ""Enter Security code"", [delayForElement])",Chrome 76.0.3809.100,,,2019-10-31 11:07:10,2019-10-31 11:07:10,0.003s,NOT_RUN
"scrollToElement(findTestObject(""Pages/Sale/invoiceNumber""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-31 11:07:10,2019-10-31 11:07:11,0.401s,PASSED
"invoiceNumber = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/invoiceNumber""), delayBetweenTestSteps)",Chrome 76.0.3809.100,,,2019-10-31 11:07:11,2019-10-31 11:07:12,1.289s,PASSED
println(invoiceNumber),Chrome 76.0.3809.100,,,2019-10-31 11:07:12,2019-10-31 11:07:12,0.001s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Sale/button_Checkout""), ""Click on Checkout button"", [delayBetweenTestSteps])",Chrome 76.0.3809.100,,,2019-10-31 11:07:12,2019-10-31 11:07:14,2.417s,PASSED
"pages.Sale.verifyTransactionCompletePage(findTestObject(""Pages/Sale/heading_TransactionComplete""))",Chrome 76.0.3809.100,,,2019-10-31 11:07:14,2019-10-31 11:07:16,1.575s,PASSED
delay(delayBetweenTestSteps),Chrome 76.0.3809.100,,,2019-10-31 11:07:16,2019-10-31 11:07:19,3.004s,PASSED
