Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Refund_TestSuite,Firefox 70.0,,,2019-11-04 05:41:45,2019-11-04 05:43:39,1m - 53.345s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Refund/TC_Refund_001,Firefox 70.0,,,2019-11-04 05:41:47,2019-11-04 05:43:39,1m - 51.394s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 70.0,,,2019-11-04 05:41:48,2019-11-04 05:41:48,0.014s,PASSED
"utilities.SafeActions.openBrowser(URL, [delayForElement])",Firefox 70.0,,,2019-11-04 05:41:49,2019-11-04 05:42:51,1m - 1.995s,PASSED
"pages.Login.login(uName, password)",Firefox 70.0,,,2019-11-04 05:42:51,2019-11-04 05:42:59,8.401s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 05:42:59,2019-11-04 05:43:04,4.177s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 05:43:04,2019-11-04 05:43:10,6.777s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 70.0,,,2019-11-04 05:43:10,2019-11-04 05:43:14,3.626s,PASSED
delay(delayForElement),Firefox 70.0,,,2019-11-04 05:43:14,2019-11-04 05:43:20,6.006s,PASSED
"utilities.SafeActions.javascriptclick(findTestObject(""Pages/ForceTransactions/tab_ForceTransactions""), PageLoadTime)",Firefox 70.0,,,2019-11-04 05:43:20,2019-11-04 05:43:20,0.410s,PASSED
delay(delayForElement),Firefox 70.0,,,2019-11-04 05:43:20,2019-11-04 05:43:26,6.005s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/ForceTransactions/tab_ForceTransactions""), ""Click on FistPayVault tab"", [delayForElement])",Firefox 70.0,,,2019-11-04 05:43:26,2019-11-04 05:43:38,11.920s,ERROR
"pages.Sale.verifyIfEntryModeIsChecked(tabName, entryModeCheckBox, delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 05:43:38,2019-11-04 05:43:38,0.147s,FAILED
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 05:43:39,2019-11-04 05:43:39,0.120s,ERROR
Start listener action : sampleAfterTestCase,Firefox 70.0,,,2019-11-04 05:43:39,2019-11-04 05:43:39,0.002s,PASSED
