Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sale_TestSuite,Firefox 70.0,,,2019-11-04 09:01:40,2019-11-04 09:09:36,7m - 56.044s,INCOMPLETE
,,,,,,,
Test Cases/FirstView/Sale/VPOS_Sale_Transaction_ECommerce_No_AdditionalPrompting,Firefox 70.0,,,2019-11-04 09:01:42,2019-11-04 09:02:49,1m - 7.124s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 70.0,,,2019-11-04 09:01:43,2019-11-04 09:01:43,0.087s,PASSED
"utilities.SafeActions.openBrowser(URL, [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:01:45,2019-11-04 09:01:58,13.334s,PASSED
"pages.Login.login(uName, password)",Firefox 70.0,,,2019-11-04 09:01:58,2019-11-04 09:02:04,5.656s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_SendCode""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 09:02:04,2019-11-04 09:02:07,3.691s,PASSED
"callTestCase(findTestCase(""FirstView/Login/TC_FirstView""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-11-04 09:02:07,2019-11-04 09:02:14,6.899s,PASSED
"switchToWindowTitle(""Transcenter - VPOS"")",Firefox 70.0,,,2019-11-04 09:02:14,2019-11-04 09:02:18,3.930s,PASSED
delay(delayForElement),Firefox 70.0,,,2019-11-04 09:02:18,2019-11-04 09:02:24,6.006s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Manually Keyed"", delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 09:02:24,2019-11-04 09:02:24,0.134s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_Amount""), PageLoadTime)",Firefox 70.0,Scroll down to Element inputAmount,,2019-11-04 09:02:24,2019-11-04 09:02:25,0.201s,PASSED
"utilities.SafeActions.safeTypeUsingJavascript(findTestObject(""Pages/Sale/input_Amount""), amount)",Firefox 70.0,,,2019-11-04 09:02:25,2019-11-04 09:02:25,0.205s,PASSED
delay(2),Firefox 70.0,,,2019-11-04 09:02:25,2019-11-04 09:02:27,2.002s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Amount""), amount, ""Amount field"", [delayForElement])",Firefox 70.0,,,2019-11-04 09:02:27,2019-11-04 09:02:28,1.122s,PASSED
"total_Amount = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/total_Amount""), PageLoadTime)",Firefox 70.0,,,2019-11-04 09:02:28,2019-11-04 09:02:29,0.801s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), PageLoadTime)",Firefox 70.0,,,2019-11-04 09:02:29,2019-11-04 09:02:29,0.125s,PASSED
"pages.Sale.verifyIfEntryModeIsChecked(""Sale"", ""Card Not Present"", delayBetweenTestSteps)",Firefox 70.0,,,2019-11-04 09:02:29,2019-11-04 09:02:29,0.028s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CardNumber""), visaCardNumber, ""Entering Card Number"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:29,2019-11-04 09:02:31,1.701s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationMonth""), cardMonth, ""Enter Expiration Month"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:31,2019-11-04 09:02:32,1.295s,PASSED
"utilities.SafeActions.safeSelectOptionInDropDownByVisibleText(findTestObject(""Pages/Sale/dropDown_ExpirationYear""), cardYear, ""Enter Expiration Year"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:32,2019-11-04 09:02:33,1.267s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/input_CustomerName""), PageLoadTime)",Firefox 70.0,,,2019-11-04 09:02:33,2019-11-04 09:02:33,0.086s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_CustomerName""), customerName, ""Enter Customer Name"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:33,2019-11-04 09:02:34,1.098s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_Address""), address, ""Enter Address"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:34,2019-11-04 09:02:35,1.032s,PASSED
"utilities.SafeActions.safeType(findTestObject(""Pages/Sale/input_PostalCode""), postalCode, ""Enter Postal Code"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:35,2019-11-04 09:02:37,1.237s,PASSED
"scrollToElement(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Firefox 70.0,,,2019-11-04 09:02:37,2019-11-04 09:02:37,0.179s,PASSED
"invoiceNumber = utilities.SafeActions.safeGetText(findTestObject(""Pages/Sale/invoiceNumber""), PageLoadTime)",Firefox 70.0,,,2019-11-04 09:02:37,2019-11-04 09:02:38,0.794s,PASSED
"utilities.SafeActions.safeClickwithScroll(findTestObject(""Pages/Sale/button_Checkout""), ""Click on Checkout button"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:38,2019-11-04 09:02:39,1.161s,PASSED
"pages.Sale.verifyTransactionCompletePage(findTestObject(""Pages/Sale/heading_TransactionComplete""))",Firefox 70.0,,,2019-11-04 09:02:39,2019-11-04 09:02:40,1.267s,PASSED
"transactionCompleteMessage = utilities.SafeActions.safeGetText(findTestObject(""Pages/ForceTransactions/approved_TransactionMessage_TransactionComplete_Screen""), delayForElement)",Firefox 70.0,,,2019-11-04 09:02:40,2019-11-04 09:02:41,0.820s,PASSED
println(transactionCompleteMessage),Firefox 70.0,,,2019-11-04 09:02:41,2019-11-04 09:02:41,0.003s,PASSED
pages.Force_Transaction.verifyStrings(transactionCompleteMessage),Firefox 70.0,,,2019-11-04 09:02:41,2019-11-04 09:02:41,0.011s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Sale/button_ReturnToSale""), ""Click on Return To Sale"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:41,2019-11-04 09:02:42,1.183s,PASSED
"utilities.SafeActions.safeClickWithoutScroll(findTestObject(""Pages/Transaction_Management/tab_TransactionManagement""), ""Transaction Management Tab"", [PageLoadTime])",Firefox 70.0,,,2019-11-04 09:02:42,2019-11-04 09:02:43,1.138s,PASSED
